Tornado Number per Year,Year,Month,Day,Date,Time,TimeZone,State,State FIPS Number,Number of Tornado per State per Year,Magnitude,Injuries,Fatalities,Property Loss ($),Crop Loss (millions $),Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude,Length (miles),Width (yards),fc,Zip Code
426458,2013,2,19,2/19/2013,16:00:00,3,CA,6,0,0,0,0,0.0,0.0,39.24,-122.26,39.24,-122.25,0.26,50,0,95987
428124,2013,2,21,2/21/2013,13:10:00,3,TX,48,0,1,2,1,0.25,0.0,31.32,-93.98,31.34,-93.91,4.47,150,0,75930
435103,2013,2,21,2/21/2013,14:58:00,3,LA,22,0,1,0,0,0.01,0.0,31.32,-93.11,31.38,-93.04,2.44,50,0,71446
431412,2013,2,21,2/21/2013,17:12:00,3,LA,22,0,1,0,0,0.07,0.0,31.68,-91.55,31.68,-91.5,2.95,75,0,71334
431373,2013,2,21,2/21/2013,22:31:00,3,MS,28,0,2,0,0,0.17,0.0,31.45,-89.86,31.5,-89.77,6.27,400,0,39427
431378,2013,2,21,2/21/2013,23:00:00,3,MS,28,0,0,0,0,0.01,0.0,31.57,-89.59,31.57,-89.58,0.67,75,0,39428
429927,2013,2,24,2/24/2013,20:30:00,3,LA,22,0,0,0,0,0.05,0.0,29.68,-90.56,29.71,-90.57,1.95,25,0,70394
427247,2013,2,25,2/25/2013,12:22:00,3,FL,12,0,0,0,0,0.0,0.0,29.68,-84.88,29.68,-84.88,0.01,20,0,32328
429938,2013,2,25,2/25/2013,16:41:00,3,LA,22,0,1,0,0,0.1,0.0,29.57,-90.7,29.57,-90.68,0.95,30,0,70363
429179,2013,2,26,2/26/2013,10:12:00,3,FL,12,0,0,0,0,0.04,0.0,27.94,-82.46,27.94,-82.45,0.73,50,0,33606
433334,2013,2,26,2/26/2013,19:18:00,3,NC,37,0,0,0,0,0.04,0.0,35.58,-78.25,35.59,-78.24,0.49,75,0,27576
428334,2013,3,5,3/5/2013,18:02:00,3,GA,13,0,1,0,0,0.25,0.0,33.27,-82.61,33.27,-82.59,1.54,150,0,30810
439941,2013,3,18,3/18/2013,6:40:00,3,TN,47,0,1,0,0,0.33,0.0,36.19,-87.63,36.23,-87.45,10.62,150,0,37101
